Record,Orthography,Target,Target Syllables,CV,Syllable Count,Stress
54,alto,ˈalto,ˈa:Nl:Ct:Oo:N,ˈVC.CV,2,1U
55,calcetines,kalseˈtines,k:Oa:Nl:Cs:Oe:Nˈt:Oi:Nn:Oe:Ns:C,CVC.CVˈCV.CVC,4,UU1U
56,chino,ˈʧino,ˈʧ:Oi:Nn:Oo:N,ˈCV.CV,2,1U
57,amarillo,amaˈɾiʝo,a:Nm:Oa:Nˈɾ:Oi:Nʝ:Oo:N,V.CVˈCV.CV,4,UU1U
58,carros,ˈkaros,ˈk:Oa:Nr:Oo:Ns:C,ˈCV.CVC,2,1U
59,nudo,ˈnudo,ˈn:Ou:Nd:Oo:N,ˈCV.CV,2,1U
60,sol,sol,s:Oo:Nl:C,CVC,1,U
61,seis,sejs,s:Oe:Dj:Ds:C,CVGC,1,U
62,año,ˈaɲo,ˈa:Nɲ:Oo:N,ˈV.CV,2,1U
63,camiseta,kamiˈseta,k:Oa:Nm:Oi:Nˈs:Oe:Nt:Oa:N,CV.CVˈCV.CV,4,UU1U
64,azul,aˈsul,a:Nˈs:Ou:Nl:C,VˈCVC,2,U1
65,dado,ˈdado,ˈd:Oa:Nd:Oo:N,ˈCV.CV,2,1U
66,miedo,ˈmjedo,ˈm:Oj:Oe:Dd:Oo:N,ˈCGV.CV,2,1U
67,puente,ˈpwente,ˈp:Ow:Oe:Nn:Ct:Oe:N,ˈCGVC.CV,2,1U
68,dos,dos,d:Oo:Ns:C,CVC,1,U
69,niño,ˈniɲo,ˈn:Oi:Nɲ:Oo:N,ˈCV.CV,2,1U
70,chile,ˈʧile,ˈʧ:Oi:Nl:Oe:N,ˈCV.CV,2,1U
71,jalar,xaˈlaɾ,x:Oa:Nˈl:Oa:Nɾ:C,CVˈCVC,2,U1
72,chango,ˈʧanɡo,ˈʧ:Oa:Nn:Cɡ:Oo:N,ˈCVC.CV,2,1U
73,sofá,soˈfa,s:Oo:Nˈf:Oa:N,CVˈCV,2,U1
74,cuatro,ˈkwatɾo,ˈk:Ow:Oa:Nt:Oɾ:Oo:N,ˈCGV.CCV,2,1U
75,muebles,ˈmwebles,ˈm:Ow:Oe:Db:Ol:Oe:Ns:C,ˈCGV.CCVC,2,1U
76,liebre,ˈljebɾe,ˈl:Oj:Oe:Db:Oɾ:Oe:N,ˈCGV.CCV,2,1U
77,cuchara,kuˈʧaɾa,k:Ou:Nˈʧ:Oa:Nɾ:Oa:N,CVˈCV.CV,3,U1U
78,delfín,delˈfin,d:Oe:Nl:Cˈf:Oi:Nn:C,CVCˈCVC,2,U1
79,nieve,ˈnjebe,ˈn:Oj:Oe:Db:Oe:N,ˈCGV.CV,2,1U
80,miel,mjel,m:Oj:Oe:Dl:C,CGVC,1,U
81,bien,bjen,b:Oj:Oe:Dn:C,CGVC,1,U
82,res,res,r:Oe:Ns:C,CVC,1,U
83,escoba,esˈkoba,e:Ns:Cˈk:Oo:Nb:Oa:N,VCˈCV.CV,3,U1U
84,labios,ˈlabjos,ˈl:Oa:Nb:Oj:Oo:Ds:C,ˈCV.CGVC,2,1U
85,tortuga,toɾˈtuɡa,t:Oo:Nɾ:Cˈt:Ou:Nɡ:Oa:N,CVCˈCV.CV,3,U1U
86,serpiente,seɾˈpjente,s:Oe:Nɾ:Cˈp:Oj:Oe:Dn:Ct:Oe:N,CVCˈCGVC.CV,3,U1U
87,eslinga,esˈlinɡa,e:Ns:Cˈl:Oi:Nn:Cɡ:Oa:N,VCˈCVC.CV,3,U1U
88,bailan,ˈbajlan,ˈb:Oa:Dj:Dl:Oa:Nn:C,ˈCVG.CVC,2,1U
89,regalo,reˈɡalo,r:Oe:Nˈɡ:Oa:Nl:Oo:N,CVˈCV.CV,3,U1U
90,toma,ˈtoma,ˈt:Oo:Nm:Oa:N,ˈCV.CV,2,1U
91,río,ˈrio,ˈr:Oi:No:N,ˈCV.V,2,1U
92,miércoles,ˈmjeɾkoles,ˈm:Oj:Oe:Dɾ:Ck:Oo:Nl:Oe:Ns:C,ˈCGVC.CV.CVC,3,1UU
93,ruego,ˈrweɡo,ˈr:Ew:Oe:Nɡ:Oo:N,ˈC.GV.CV,3,1UU
94,cien,sjen,s:Oj:Oe:Dn:C,CGVC,1,U
95,pingüino,pinˈɡwino,p:Oi:Nn:Cˈɡ:Ow:Oi:Nn:Oo:N,CVCˈCGV.CV,3,U1U
96,riesgo,ˈrjesɡo,ˈr:Oj:Oe:Ds:Cɡ:Oo:N,ˈCGVC.CV,2,1U
97,duende,ˈdwende,ˈd:Ow:Oe:Nn:Cd:Oe:N,ˈCGVC.CV,2,1U
98,fuego,ˈfweɡo,ˈf:Ow:Oe:Nɡ:Oo:N,ˈCGV.CV,2,1U
99,nadar,naˈdaɾ,n:Oa:Nˈd:Oa:Nɾ:C,CVˈCVC,2,U1
100,pulpo,ˈpulpo,ˈp:Ou:Nl:Cp:Oo:N,ˈCVC.CV,2,1U
101,abrigo,aˈbɾiɡo,a:Nˈb:Oɾ:Oi:Nɡ:Oo:N,VˈCCV.CV,3,U1U
102,espalda,esˈpalda,e:Ns:Cˈp:Oa:Nl:Cd:Oa:N,VCˈCVC.CV,3,U1U
103,granja,ˈɡɾanxa,ˈɡ:Oɾ:Oa:Nn:Cx:Oa:N,ˈCCVC.CV,2,1U
104,tren,tɾen,t:Oɾ:Oe:Nn:C,CCVC,1,U
105,cachucha,kaˈʧuʧa,k:Oa:Nˈʧ:Ou:Nʧ:Oa:N,CVˈCV.CV,3,U1U
106,foca,ˈfoka,ˈf:Oo:Nk:Oa:N,ˈCV.CV,2,1U
107,Estrella,esˈtɾeʝa,e:Ns:Cˈt:Oɾ:Oe:Nʝ:Oa:N,VCˈCCV.CV,3,U1U
108,gato,ˈɡato,ˈɡ:Oa:Nt:Oo:N,ˈCV.CV,2,1U
109,humo,ˈumo,ˈu:Nm:Oo:N,ˈV.CV,2,1U
110,bueno,ˈbweno,ˈb:Ow:Oe:Dn:Oo:N,ˈCGV.CV,2,1U
111,tuerce,ˈtweɾse,ˈt:Ow:Oe:Nɾ:Cs:Oe:N,ˈCGVC.CV,2,1U
112,sed,sed,s:Oe:Nd:C,CVC,1,U
113,quiero,ˈkjeɾo,ˈk:Oj:Oe:Dɾ:Oo:N,ˈCGV.CV,2,1U
114,nariz,naˈɾis,n:Oa:Nˈɾ:Oi:Ns:C,CVˈCVC,2,U1
115,clase,ˈklase,ˈk:Ol:Oa:Ns:Oe:N,ˈCCV.CV,2,1U
116,bruja,ˈbɾuxa,ˈb:Oɾ:Ou:Nx:Oa:N,ˈCCV.CV,2,1U
117,ojo,ˈoxo,ˈo:Nx:Oo:N,ˈV.CV,2,1U
118,escuela,esˈkwela,e:Ns:Cˈk:Ow:Oe:Dl:Oa:N,VCˈCGV.CV,3,U1U
119,cadena,kaˈdena,k:Oa:Nˈd:Oe:Nn:Oa:N,CVˈCV.CV,3,U1U
120,hamburguesa,ambuɾˈɡesa,a:Nm:Cb:Ou:Nɾ:Cˈɡ:Oe:Ns:Oa:N,VC.CVCˈCV.CV,4,UU1U
121,luego,ˈlweɡo,ˈl:Ew:Oe:Nɡ:Oo:N,ˈC.GV.CV,3,1UU
122,princesa,pɾinˈsesa,p:Oɾ:Oi:Nn:Cˈs:Oe:Ns:Oa:N,CCVCˈCV.CV,3,U1U
123,cocodrilo,kokoˈdɾilo,k:Oo:Nk:Oo:Nˈd:Oɾ:Oi:Nl:Oo:N,CV.CVˈCCV.CV,4,UU1U
124,llaves,ˈʝabes,ˈʝ:Oa:Nb:Oe:Ns:C,ˈCV.CVC,2,1U
125,burro,ˈburo,ˈb:Ou:Nr:Oo:N,ˈCV.CV,2,1U
126,vaca,ˈbaka,ˈb:Oa:Nk:Oa:N,ˈCV.CV,2,1U
127,plátanos,ˈplatanos,ˈp:Ol:Oa:Nt:Oa:Nn:Oo:Ns:C,ˈCCV.CV.CVC,3,1UU
128,lienzo,ˈljenso,ˈl:Oj:Oe:Dn:Cs:Oo:N,ˈCGVC.CV,2,1U
129,moño,ˈmoɲo,ˈm:Oo:Nɲ:Oo:N,ˈCV.CV,2,1U
130,hielo,ˈjelo,ˈj:Oe:Dl:Oo:N,ˈGV.CV,2,1U
131,no,no,n:Oo:N,CV,1,U
132,plato,ˈplato,ˈp:Ol:Oa:Nt:Oo:N,ˈCCV.CV,2,1U
133,blanco,ˈblanko,ˈb:Ol:Oa:Nn:Ck:Oo:N,ˈCCVC.CV,2,1U
134,fresa,ˈfɾesa,ˈf:Oɾ:Oe:Ns:Oa:N,ˈCCV.CV,2,1U
135,oído,oˈido,o:Nˈi:Nd:Oo:N,VˈV.CV,3,U1U
136,albóndiga,alˈbondiɡa,a:Nl:Cˈb:Oo:Nn:Cd:Oi:Nɡ:Oa:N,VCˈCVC.CV.CV,4,U1UU
137,boca,ˈboka,ˈb:Oo:Nk:Oa:N,ˈCV.CV,2,1U
138,lengua,ˈlenɡwa,ˈl:Oe:Nn:Cɡ:Ow:Oa:N,ˈCVC.CGV,2,1U
139,riendo,ˈrjendo,ˈr:Oj:Oe:Dn:Cd:Oo:N,ˈCGVC.CV,2,1U
140,pastel,pasˈtel,p:Oa:Ns:Cˈt:Oe:Nl:C,CVCˈCVC,2,U1
141,acrobacia,akɾoˈbasja,a:Nk:Oɾ:Oo:Nˈb:Oa:Ns:Oj:Oa:D,V.CCVˈCV.CGV,4,UU1U
142,lápiz,ˈlapis,ˈl:Oa:Np:Oi:Ns:C,ˈCV.CVC,2,1U
143,huevos,ˈwebos,ˈw:Oe:Db:Oo:Ns:C,ˈGV.CVC,2,1U
144,presidente,pɾesiˈdente,p:Oɾ:Oe:Ns:Oi:Nˈd:Oe:Nn:Ct:Oe:N,CCV.CVˈCVC.CV,4,UU1U
145,elefante,eleˈfante,e:Nl:Oe:Nˈf:Oa:Nn:Ct:Oe:N,V.CVˈCVC.CV,4,UU1U
146,piedra,ˈpjedɾa,ˈp:Oj:Oe:Dd:Oɾ:Oa:N,ˈCGV.CCV,2,1U
147,buendía,bwenˈdia,b:Ow:Oe:Nn:Cˈd:Oi:Na:N,CGVCˈCV.V,3,U1U
148,quién,kjen,k:Oj:Oe:Dn:C,CGVC,1,U
149,glotón,ɡloˈton,ɡ:Ol:Oo:Nˈt:Oo:Nn:C,CCVˈCVC,2,U1
150,té,te,t:Oe:N,CV,1,U
151,tía,ˈtia,ˈt:Oi:Na:N,ˈCV.V,2,1U
152,llueve,ˈʝwebe,ˈʝ:Ow:Oe:Db:Oe:N,ˈCGV.CV,2,1U
153,crema,ˈkɾema,ˈk:Oɾ:Oe:Nm:Oa:N,ˈCCV.CV,2,1U
154,suave,ˈswabe,ˈs:Ow:Oa:Db:Oe:N,ˈCGV.CV,2,1U
155,llanta,ˈʝanta,ˈʝ:Oa:Nn:Ct:Oa:N,ˈCVC.CV,2,1U
156,raíz,raˈis,r:Oa:Nˈi:Ns:C,CVˈVC,2,U1
157,tina,ˈtina,ˈt:Oi:Nn:Oa:N,ˈCV.CV,2,1U
158,jabón,xaˈbon,x:Oa:Nˈb:Oo:Nn:C,CVˈCVC,2,U1
159,pie,pje,p:Oj:Oe:D,CGV,1,U
160,nuevo,ˈnwebo,ˈn:Ow:Oe:Db:Oo:N,ˈCGV.CV,2,1U
161,rana,ˈrana,ˈr:Oa:Nn:Oa:N,ˈCV.CV,2,1U
162,tierra,ˈtjera,ˈt:Oj:Oe:Dr:Oa:N,ˈCGV.CV,2,1U
163,frío,ˈfɾio,ˈf:Oɾ:Oi:No:N,ˈCCV.V,2,1U
164,lentes,ˈlentes,ˈl:Oe:Nn:Ct:Oe:Ns:C,ˈCVC.CVC,2,1U
165,reloj,reˈlox,r:Oe:Nˈl:Oo:Nx:C,CVˈCVC,2,U1
166,diente,ˈdjente,ˈd:Oj:Oe:Dn:Ct:Oe:N,ˈCGVC.CV,2,1U
167,leche,ˈleʧe,ˈl:Oe:Nʧ:Oe:N,ˈCV.CV,2,1U
168,cama,ˈkama,ˈk:Oa:Nm:Oa:N,ˈCV.CV,2,1U
169,rey,rej,r:Oe:Dj:D,CVG,1,U
170,gancho,ˈɡanʧo,ˈɡ:Oa:Nn:Cʧ:Oo:N,ˈCVC.CV,2,1U
171,tráfico,ˈtɾafiko,ˈt:Oɾ:Oa:Nf:Oi:Nk:Oo:N,ˈCCV.CV.CV,3,1UU
172,rojo,ˈroxo,ˈr:Oo:Nx:Oo:N,ˈCV.CV,2,1U
173,izquierda,isˈkjeɾda,i:Ns:Cˈk:Oj:Oe:Dɾ:Cd:Oa:N,VCˈCGVC.CV,3,U1U
174,ruido,ˈrwido,ˈr:Ew:Oi:Nd:Oo:N,ˈC.GV.CV,3,1UU
175,salmón,salˈmon,s:Oa:Nl:Cˈm:Oo:Nn:C,CVCˈCVC,2,U1
176,espejo,esˈpexo,e:Ns:Cˈp:Oe:Nx:Oo:N,VCˈCV.CV,3,U1U
177,flecha,ˈfleʧa,ˈf:Ol:Oe:Nʧ:Oa:N,ˈCCV.CV,2,1U
178,sombrero,somˈbɾeɾo,s:Oo:Nm:Cˈb:Oɾ:Oe:Nɾ:Oo:N,CVCˈCCV.CV,3,U1U
179,inglés,inˈɡles,i:Nn:Cˈɡ:Ol:Oe:Ns:C,VCˈCCVC,2,U1
180,chef,ʧef,ʧ:Oe:Nf:C,CVC,1,U
181,teléfono,teˈlefono,t:Oe:Nˈl:Oe:Nf:Oo:Nn:Oo:N,CVˈCV.CV.CV,4,U1UU
182,piano,ˈpjano,ˈp:Oj:Oa:Dn:Oo:N,ˈCGV.CV,2,1U
183,cachetes,kaˈʧetes,k:Oa:Nˈʧ:Oe:Nt:Oe:Ns:C,CVˈCV.CVC,3,U1U
184,tienda,ˈtjenda,ˈt:Oj:Oe:Dn:Cd:Oa:N,ˈCGVC.CV,2,1U
185,llama,ˈʝama,ˈʝ:Oa:Nm:Oa:N,ˈCV.CV,2,1U
186,fantasma,fanˈtasma,f:Oa:Nn:Cˈt:Oa:Ns:Cm:Oa:N,CVCˈCVC.CV,3,U1U
187,viejo,ˈbjexo,ˈb:Oj:Oe:Dx:Oo:N,ˈCGV.CV,2,1U
188,algodón,alɡoˈdon,a:Nl:Cɡ:Oo:Nˈd:Oo:Nn:C,VC.CVˈCVC,3,UU1
189,tigre,ˈtiɡɾe,ˈt:Oi:Nɡ:Oɾ:Oe:N,ˈCV.CCV,2,1U
190,familia,faˈmilja,f:Oa:Nˈm:Oi:Nl:Oj:Oa:D,CVˈCV.CGV,3,U1U
191,dulce,ˈdulse,ˈd:Ou:Nl:Cs:Oe:N,ˈCVC.CV,2,1U
192,gente,ˈxente,ˈx:Oe:Nn:Ct:Oe:N,ˈCVC.CV,2,1U
193,feliz,feˈlis,f:Oe:Nˈl:Oi:Ns:C,CVˈCVC,2,U1
194,manzana,manˈsana,m:Oa:Nn:Cˈs:Oa:Nn:Oa:N,CVCˈCV.CV,3,U1U
195,búho,ˈbuo,ˈb:Ou:No:N,ˈCV.V,2,1U
196,buey,bwej,b:Ow:Oe:Dj:D,CGVG,1,U
197,arroz,aˈros,a:Nˈr:Oo:Ns:C,VˈCVC,2,U1
198,unicornio,uniˈkoɾnjo,u:Nn:Oi:Nˈk:Oo:Nɾ:Cn:Oj:Oo:D,V.CVˈCVC.CGV,4,UU1U
199,tiene,ˈtjene,ˈt:Oj:Oe:Dn:Oe:N,ˈCGV.CV,2,1U
200,niña,ˈniɲa,ˈn:Oi:Nɲ:Oa:N,ˈCV.CV,2,1U
201,bombero,bomˈbeɾo,b:Oo:Nm:Cˈb:Oe:Nɾ:Oo:N,CVCˈCV.CV,3,U1U
202,diez,djes,d:Oj:Oe:Ds:C,CGVC,1,U
203,llorando,ʝoˈɾando,ʝ:Oo:Nˈɾ:Oa:Nn:Cd:Oo:N,CVˈCVC.CV,3,U1U
204,bloque,ˈbloke,ˈb:Ol:Oo:Nk:Oe:N,ˈCCV.CV,2,1U
205,enfrente,enˈfɾente,e:Nn:Cˈf:Oɾ:Oe:Nn:Ct:Oe:N,VCˈCCVC.CV,3,U1U
206,perro,ˈpero,ˈp:Oe:Nr:Oo:N,ˈCV.CV,2,1U
207,catorce,kaˈtoɾse,k:Oa:Nˈt:Oo:Nɾ:Cs:Oe:N,CVˈCVC.CV,3,U1U
208,brinca,ˈbɾinka,ˈb:Oɾ:Oi:Nn:Ck:Oa:N,ˈCCVC.CV,2,1U
209,cumpleaños,kumpleˈaɲos,k:Ou:Nm:Cp:Ol:Oe:Nˈa:Nɲ:Oo:Ns:C,CVC.CCVˈV.CVC,4,UU1U
210,rueda,ˈrweda,ˈr:Ew:Oe:Nd:Oa:N,ˈC.GV.CV,3,1UU
211,queso,ˈkeso,ˈk:Oe:Ns:Oo:N,ˈCV.CV,2,1U
212,chanclas,ˈʧanklas,ˈʧ:Oa:Nn:Ck:Ol:Oa:Ns:C,ˈCVC.CCVC,2,1U
213,hoy,oj,o:Dj:D,VG,1,U
214,dragón,dɾaˈɡon,d:Oɾ:Oa:Nˈɡ:Oo:Nn:C,CCVˈCVC,2,U1
215,tuétano,ˈtwetano,ˈt:Ow:Oe:Nt:Oa:Nn:Oo:N,ˈCGV.CV.CV,3,1UU
216,jirafa,xiˈɾafa,x:Oi:Nˈɾ:Oa:Nf:Oa:N,CVˈCV.CV,3,U1U
217,portero,poɾˈteɾo,p:Oo:Nɾ:Cˈt:Oe:Nɾ:Oo:N,CVCˈCV.CV,3,U1U
218,volcán,bolˈkan,b:Oo:Nl:Cˈk:Oa:Nn:C,CVCˈCVC,2,U1
219,espuma,esˈpuma,e:Ns:Cˈp:Ou:Nm:Oa:N,VCˈCV.CV,3,U1U
220,frente,ˈfɾente,ˈf:Oɾ:Oe:Nn:Ct:Oe:N,ˈCCVC.CV,2,1U
221,fútbol,ˈfutbol,ˈf:Ou:Nt:Cb:Oo:Nl:C,ˈCVC.CVC,2,1U
222,araña,aˈɾaɲa,a:Nˈɾ:Oa:Nɲ:Oa:N,VˈCV.CV,3,U1U
223,mueca,ˈmweka,ˈm:Ow:Oe:Dk:Oa:N,ˈCGV.CV,2,1U
224,fiebre,ˈfjebɾe,ˈf:Oj:Oe:Db:Oɾ:Oe:N,ˈCGV.CCV,2,1U
225,chicle,ˈʧikle,ˈʧ:Oi:Nk:Ol:Oe:N,ˈCV.CCV,2,1U
226,gallo,ˈɡaʝo,ˈɡ:Oa:Nʝ:Oo:N,ˈCV.CV,2,1U
227,verde,ˈbeɾde,ˈb:Oe:Nɾ:Cd:Oe:N,ˈCVC.CV,2,1U
228,mecate,meˈkate,m:Oe:Nˈk:Oa:Nt:Oe:N,CVˈCV.CV,3,U1U
229,tuerca,ˈtweɾka,ˈt:Ow:Oe:Nɾ:Ck:Oa:N,ˈCGVC.CV,2,1U
230,fuera,ˈfweɾa,ˈf:Ow:Oe:Dɾ:Oa:N,ˈCGV.CV,2,1U
231,yoyo,ˈʝoʝo,ˈʝ:Oo:Nʝ:Oo:N,ˈCV.CV,2,1U
232,pulmón,pulˈmon,p:Ou:Nl:Cˈm:Oo:Nn:C,CVCˈCVC,2,U1
233,gordo,ˈɡoɾdo,ˈɡ:Oo:Nɾ:Cd:Oo:N,ˈCVC.CV,2,1U
234,nueve,ˈnwebe,ˈn:Ow:Oe:Db:Oe:N,ˈCGV.CV,2,1U
235,árbol,ˈaɾbol,ˈa:Nɾ:Cb:Oo:Nl:C,ˈVC.CVC,2,1U
236,árboles,ˈaɾboles,ˈa:Nɾ:Cb:Oo:Nl:Oe:Ns:C,ˈVC.CV.CVC,3,1UU
237,camarón,kamaˈɾon,k:Oa:Nm:Oa:Nˈɾ:Oo:Nn:C,CV.CVˈCVC,3,UU1
238,camarones,kamaˈɾones,k:Oa:Nm:Oa:Nˈɾ:Oo:Nn:Oe:Ns:C,CV.CVˈCV.CVC,4,UU1U
239,flor,floɾ,f:Ol:Oo:Nɾ:C,CCVC,1,U
240,flores,ˈfloɾes,ˈf:Ol:Oo:Nɾ:Oe:Ns:C,ˈCCV.CVC,2,1U
241,luz,lus,l:Ou:Ns:C,CVC,1,U
242,luces,ˈluses,ˈl:Ou:Ns:Oe:Ns:C,ˈCV.CVC,2,1U
243,nopal,noˈpal,n:Oo:Nˈp:Oa:Nl:C,CVˈCVC,2,U1
244,nopales,noˈpales,n:Oo:Nˈp:Oa:Nl:Oe:Ns:C,CVˈCV.CVC,3,U1U
245,pared,paˈɾed,p:Oa:Nˈɾ:Oe:Nd:C,CVˈCVC,2,U1
246,paredes,paˈɾedes,p:Oa:Nˈɾ:Oe:Nd:Oe:Ns:C,CVˈCV.CVC,3,U1U
247,sartén,saɾˈten,s:Oa:Nɾ:Cˈt:Oe:Nn:C,CVCˈCVC,2,U1
248,sartenes,saɾˈtenes,s:Oa:Nɾ:Cˈt:Oe:Nn:Oe:Ns:C,CVCˈCV.CVC,3,U1U
249,tambor,tamˈboɾ,t:Oa:Nm:Cˈb:Oo:Nɾ:C,CVCˈCVC,2,U1
250,tambores,tamˈboɾes,t:Oa:Nm:Cˈb:Oo:Nɾ:Oe:Ns:C,CVCˈCV.CVC,3,U1U
251,ciudad,sjuˈdad,s:Oj:Du:Dˈd:Oa:Nd:C,CGVˈCVC,2,U1
252,ciudades,sjuˈdades,s:Oj:Du:Dˈd:Oa:Nd:Oe:Ns:C,CGVˈCV.CVC,3,U1U
253,cruz,kɾus,k:Oɾ:Ou:Ns:C,CCVC,1,U
254,cruces,ˈkɾuses,ˈk:Oɾ:Ou:Ns:Oe:Ns:C,ˈCCV.CVC,2,1U
